Card   1: 10  5 11 65 27 43 44 29 24 69 | 65 66 18 14 17 97 95 34 38 23 10 25 22 15 87  9 28 43  4 71 89 20 72  5  6
Card   2: 25 43 15 31 45 19 36 73 34 85 | 92 11 85 68 74 20 19 71  1 36 43 32 77 33 14 31 73 15 45 83 34 25  6 88 57
Card   3:  4 46 42 23 18 98 59 75 19 57 | 22  3 75 80 42 23 59 39 98 38 18 21 67 57 20 25 71 26 64  4 83 79 91 65 90
Card   4: 92 13 56 27 19 44 70 93 32 66 | 38  4 19 75 87 93 32  1 23 14 51 22 42 44 33 63 13 56 70 66 18 92 47 53 27
Card   5: 25 18 30 45 23 80 91 13 47 61 | 62 45 71 30 39 19 61 68 23 80 91 96 25 58 13 88 67 29 60  2 74 55 12 83 46
Card   6: 20 36 26 18 61 35 94 58 79 19 | 85 68 56  7 53 58 19 20 79 59 26 61 18 15 94 33 29 71 35 89 17 36  3 67 72
Card   7: 29 21 71 91 74  6 12 53 50 55 | 29 51 12 74 82 18 21 55 53 33 65 91 95 69  2 62 57 50  3 79 71 61 47  6 14
Card   8: 24 72 46 88 65 12 48 97 76 73 | 17 97 87 18 83 11 49 44 88 79 64 55 19 25 63 74 73 14 82 15 72 43 76 48 46
Card   9: 86 38 55 52 33 61 41 75 87 26 | 38 97 88 91 33 36 54 64 40 52 68 71 43 55 72 75  4 61 58 49 56 86 30 15 17
Card  10: 15 37 72  5 66 81 33  6 80 76 | 52 34 21 68 72 82 91 81  7 19 86 67 94 87 16 63 43  9 14 23 44 60 18  4 74
Card  11: 24 21 17 27 34 80 18 79 56 32 | 18 45 21 63 82 69 48 54 89  5 83 80 92 93 49  8 55 12 97 35  4  3 42 94 56
Card  12: 90 61 45 54 64 93 69 85 58 88 | 79 89 74 45 27 61  9 56 69 88 13 80 66  4 16 62 34 51 71 54 48 64 58 63 50
Card  13: 80 39 35 27 56 94 25 77 84 26 | 24 19 72 54 96 63 56 15 25 16 59 35 20 57 52 65 95 66 45 31 77 60 42 93 37
Card  14: 33 83 94 41  7 79 18 40 24 97 | 49 27 45 21 20  8 93 26 12 42 94 33 96 57 98 91 19 52 78  2 18 80 65 72 44
Card  15: 16 83 92 40 13 35 94 23 47 17 | 55 61 75 43 18  5 22 65 67  7 49 63 71 13 45 78 53 21 57 34 98 99 64 32 56
Card  16: 14 76 72  8 42 61 60 82 24 21 | 56 10 38 11 37 45 29 22 51 98 86 49 26 13 16 52 50 14 70 30 87 73 66 77 88
Card  17: 63 32 83 13 81 89 33 49  5 34 | 99 85 12  6 27 93 78 44 14 76  1 51 36  9  4 62 91 84  8 37 45 66 75 42 40
Card  18: 43 97 37 61 69 94 60 67 91 99 | 87 25 65 98 26 62 42 11 61 32 34 76 14 20 44 92 22  5 12 46 21 33  3 15 59
Card  19: 32 96 10 49 26 86 67 85 50 75 | 58 98 84 43 23 33 64 74 37 80 63 40 51 95 13 55 31 25 87 97 81 52 53 24  6
Card  20:  7 70 41 40 16 15 20 72 47 93 | 93 41  7 79 62 86 69 70 75 67 51 72 81 15 22 48 47 80 71 38 40 97 20 82 16
Card  21: 90 76 52 48 36 37 89 45 20 17 | 23 48 86  7 99 50 20 58 93 43 16 91  5 76 52 45 17 68 89 22 61 36 90 37 83
Card  22: 85 71 20 58 32 83 53 94 61 80 | 88 59 66 80 49 53 19 97  5 20 62  8 94 54 67 73 93 12 10 61 32 41 71 72 85
Card  23: 60 61 30 65 11 28 89 54 22 78 | 88 71 97 46 60 45 54 26 22 42 59 57 80  9 69 61 47  3 85  7 32 78 11 66 33
Card  24: 35 16  5 85 87 58 66 39 88 12 | 51 32 59 41 73 21 58 79 72 10 74 28 95 69 16 92 88 18 34 46 77 17 65 76 99
